Type,Name
Activism,Education Law and Policy Society
Graduate/Professional,Education Law and Policy Society
Cultural/Ethnic,Egyptian Student Association
Creative & Performing Arts,Element One
Cultural/Ethnic,Element One
Health & Wellness,Element One
Sport Clubs & Recreation,Element One
Science/Technology/Engineering,Elementary Engineering Partnerships
Service/Service Learning,Elementary Engineering Partnerships
Activism,Elevate
Cultural/Ethnic,Elevate
Gender/Sexuality,Elevate
Graduate/Professional,Emergency Medicine Interest Group
Health & Wellness,Empower Through Health at the University of Michigan
Service/Service Learning,Empower Through Health at the University of Michigan
Academic/Honor Societies,Empowering Women in Law UMICH
Graduate/Professional,Empowering Women in Law UMICH
Creative & Performing Arts,Empty Mug Records
Media & Creative Writing,Empty Mug Records
Activism,Enactus
Academic/Honor Societies,Enactus
Service/Service Learning,Enactus
Environmental,Enactus
Business & Entrepreneurship,Enactus
Creative & Performing Arts,EnCore
Cultural/Ethnic,EnCore
Activism,End the Cycle
Service/Service Learning,End the Cycle
Science/Technology/Engineering,Energy Club at Ross
Graduate/Professional,Energy Club at Ross
Environmental,Energy Club at Ross
Activism,Engaging Scientists in Policy and Advocacy
Graduate/Professional,Engaging Scientists in Policy and Advocacy
Environmental,Engaging Scientists in Policy and Advocacy
Academic/Honor Societies,Engineering Global Leadership Honors Society
Science/Technology/Engineering,Engineering Global Leadership Honors Society
Academic/Honor Societies,Engineering Honors Student Advisory Board
Activism,Engineering Student Government 
Science/Technology/Engineering,Engineering Student Government 
Governance,Engineering Student Government 
Graduate/Professional,Engineering Student Government 
Environmental,Engineering Student Government 
Cultural/Ethnic,Engineering Trek
Graduate/Professional,Engineering Trek
Graduate/Professional,Ensemble of Computer Science and Engineering Ladies+
Gender/Sexuality,Ensemble of Computer Science and Engineering Ladies+
Creative & Performing Arts,EnspiRED Runway 
Cultural/Ethnic,EnspiRED Runway 
Media & Creative Writing,EnspiRED Runway 
Creative & Performing Arts,Entertainment + Digital Media Club 
Graduate/Professional,Entertainment + Digital Media Club 
Media & Creative Writing,Entertainment + Digital Media Club 
Academic/Honor Societies,"Entertainment, Media, and Arts Law Students Association"
Creative & Performing Arts,"Entertainment, Media, and Arts Law Students Association"
Graduate/Professional,"Entertainment, Media, and Arts Law Students Association"
Media & Creative Writing,"Entertainment, Media, and Arts Law Students Association"
Science/Technology/Engineering,Entrepreneur and Venture Club
Governance,Entrepreneur and Venture Club
Graduate/Professional,Entrepreneur and Venture Club
Business & Entrepreneurship,Entrepreneur and Venture Club
Academic/Honor Societies,Entrepreneurship & Law Association
Graduate/Professional,Entrepreneurship & Law Association
Academic/Honor Societies,Entrepreneurship Creativity Club
Science/Technology/Engineering,Environmental Consulting Organization at the University of Michigan
Graduate/Professional,Environmental Consulting Organization at the University of Michigan
Environmental,Environmental Consulting Organization at the University of Michigan
Academic/Honor Societies,Environmental Health Student Association
Science/Technology/Engineering,Environmental Health Student Association
Governance,Environmental Health Student Association
Graduate/Professional,Environmental Health Student Association
Health & Wellness,Environmental Health Student Association
Service/Service Learning,Environmental Health Student Association
Environmental,Environmental Health Student Association
Activism,Environmental Law Society
Graduate/Professional,Environmental Law Society
Service/Service Learning,Environmental Law Society
Environmental,Environmental Law Society
Science/Technology/Engineering,Environmental Policy Association
Graduate/Professional,Environmental Policy Association
Environmental,Environmental Policy Association
Service/Service Learning,Environmentorship Program
Environmental,Environmentorship Program
Academic/Honor Societies,Epidemiology 890 Student Organization
Graduate/Professional,Epidemiology 890 Student Organization
Graduate/Professional,Epidemiology Doctoral Student Organization
Academic/Honor Societies,Epidemiology Student Organization
Science/Technology/Engineering,Epidemiology Student Organization
Graduate/Professional,Epidemiology Student Organization
Health & Wellness,Epidemiology Student Organization
Service/Service Learning,Epidemiology Student Organization
Academic/Honor Societies,Epsilon Alpha Sigma Sorority
Cultural/Ethnic,Epsilon Alpha Sigma Sorority
Service/Service Learning,Epsilon Alpha Sigma Sorority
Social Fraternity/Sorority,Epsilon Alpha Sigma Sorority
Activism,Epsilon Eta
Academic/Honor Societies,Epsilon Eta
Environmental,Epsilon Eta
Activism,Equitable Change Organization
Environmental,Equitable Change Organization
Graduate/Professional,Erb Institute Student Advisory Board
Environmental,Erb Institute Student Advisory Board
Academic/Honor Societies,Eta Kappa Nu
Activism,Ethical Investments
Academic/Honor Societies,Ethical Investments
Graduate/Professional,Ethical Investments
Environmental,Ethical Investments
Business & Entrepreneurship,Ethical Investments
Cultural/Ethnic,European Business Students Association
Graduate/Professional,European Business Students Association
Activism,European Horizons 
Governance,European Horizons 
Graduate/Professional,European Horizons 
Academic/Honor Societies,Evans Scholars
Creative & Performing Arts,Every Three Weekly/UAC
Media & Creative Writing,Every Three Weekly/UAC
Health & Wellness,Exercise Is Medicine at the University of Michigan
Creative & Performing Arts,Falun Dafa Student Association
Cultural/Ethnic,Falun Dafa Student Association
Health & Wellness,Falun Dafa Student Association
Religious/Spiritual,Falun Dafa Student Association
Service/Service Learning,FATE
Activism,FeelGood at the University of Michigan
Service/Service Learning,FeelGood at the University of Michigan
Environmental,FeelGood at the University of Michigan
Religious/Spiritual,Fellowship of Christian Athletes at The University of Michigan - Ann Arbor
Service/Service Learning,Fellowship of Christian Athletes at The University of Michigan - Ann Arbor
Activism,FemForward Coalition
Health & Wellness,FemForward Coalition
Gender/Sexuality,FemForward Coalition
Creative & Performing Arts,Fighting Obstacles Knowing Ultimate Success
Cultural/Ethnic,Fighting Obstacles Knowing Ultimate Success
Media & Creative Writing,Fighting Obstacles Knowing Ultimate Success
Activism,Filipino American Student Association
Creative & Performing Arts,Filipino American Student Association
Cultural/Ethnic,Filipino American Student Association
Service/Service Learning,Filipino American Student Association
Creative & Performing Arts,Film and Video Student Association
Media & Creative Writing,Film and Video Student Association
Creative & Performing Arts,Filmic Productions
Graduate/Professional,Filmic Productions
Media & Creative Writing,Filmic Productions
Activism,FIRST Alumni and Mentors Network at Michigan
Science/Technology/Engineering,FIRST Alumni and Mentors Network at Michigan
Graduate/Professional,FIRST Alumni and Mentors Network at Michigan
Service/Service Learning,FIRST Alumni and Mentors Network at Michigan
Academic/Honor Societies,First Generation Law Students
Cultural/Ethnic,First Generation Law Students
Graduate/Professional,First Generation Law Students
Service/Service Learning,First Generation Law Students
Creative & Performing Arts,First They Scare You to Death: Law School Horror Club
Cultural/Ethnic,First They Scare You to Death: Law School Horror Club
Health & Wellness,First They Scare You to Death: Law School Horror Club
Media & Creative Writing,First They Scare You to Death: Law School Horror Club
Department,First Year Experience
Academic/Honor Societies,First Year Information Program
Graduate/Professional,First Year Information Program
Activism,First-Generation College Students @ Michigan
Cultural/Ethnic,First-Generation College Students @ Michigan
Health & Wellness,First-Generation College Students @ Michigan
Service/Service Learning,First-Generation College Students @ Michigan
Health & Wellness,First8
Environmental,First8
Graduate/Professional,FISLL at UMICH
Health & Wellness,FISLL at UMICH
Religious/Spiritual,FISLL at UMICH
Service/Service Learning,FISLL at UMICH
Sport Clubs & Recreation,FISLL at UMICH
Business & Entrepreneurship,FISLL at UMICH
Graduate/Professional,FitX: Health and Wellness Professional and Innovation Club
Health & Wellness,FitX: Health and Wellness Professional and Innovation Club
Health & Wellness,Fleece & Thank You
Service/Service Learning,Fleece & Thank You
Activism,Flint Justice Partnership
Cultural/Ethnic,Flint Justice Partnership
Science/Technology/Engineering,Flint Justice Partnership
Graduate/Professional,Flint Justice Partnership
Service/Service Learning,Flint Justice Partnership
Environmental,Flint Justice Partnership
Gender/Sexuality,Flint Justice Partnership
Activism,FlipBlue
Governance,FlipBlue
Creative & Performing Arts,Flowdom
Cultural/Ethnic,Flowdom
Health & Wellness,Flowdom
Sport Clubs & Recreation,Flowdom
Activism,Fly Fishing Club at the University of Michigan
Health & Wellness,Fly Fishing Club at the University of Michigan
Service/Service Learning,Fly Fishing Club at the University of Michigan
Sport Clubs & Recreation,Fly Fishing Club at the University of Michigan
Environmental,Fly Fishing Club at the University of Michigan
Health & Wellness,Flywheel - Women's Ultimate Frisbee
Sport Clubs & Recreation,Flywheel - Women's Ultimate Frisbee
Activism,fneUM
Cultural/Ethnic,fneUM
Health & Wellness,fneUM
Service/Service Learning,fneUM
Environmental,fneUM
Creative & Performing Arts,Follies at Ross
Graduate/Professional,Follies at Ross
Media & Creative Writing,Follies at Ross
Academic/Honor Societies,Food Industry Student Association
Science/Technology/Engineering,Food Industry Student Association
Activism,Food Recovery Network at University of Michigan
Service/Service Learning,Food Recovery Network at University of Michigan
Environmental,Food Recovery Network at University of Michigan
Graduate/Professional,FoodBev & Biz
Graduate/Professional,Ford + Munk Conference Committee
Activism,Ford School Charity Auction
Graduate/Professional,Ford School Charity Auction
Service/Service Learning,Ford School Charity Auction
Governance,Ford School Student Affairs Committee
Graduate/Professional,Ford School Student Affairs Committee
Service/Service Learning,Ford School Student Affairs Committee
Governance,Ford School Undergraduate Council
Activism,Foundation for International Medical Relief of Children
Health & Wellness,Foundation for International Medical Relief of Children
Service/Service Learning,Foundation for International Medical Relief of Children
Graduate/Professional,Fraker Conference Planning Committee
Graduate/Professional,Frank Murphy Society
Activism,Friends of the Campus Farm
Health & Wellness,Friends of the Campus Farm
Service/Service Learning,Friends of the Campus Farm
Environmental,Friends of the Campus Farm
Creative & Performing Arts,Friends of the Gargoyle
Media & Creative Writing,Friends of the Gargoyle
Graduate/Professional,Frog Island Track Club Student Organization
Service/Service Learning,Frog Island Track Club Student Organization
Sport Clubs & Recreation,Frog Island Track Club Student Organization
Graduate/Professional,Fun Run
Service/Service Learning,Fun Run
Creative & Performing Arts,FunKtion
Creative & Performing Arts,Fusion Dance
Academic/Honor Societies,Future Black Healthcare Professionals at U of M
Cultural/Ethnic,Future Black Healthcare Professionals at U of M
Science/Technology/Engineering,Future Black Healthcare Professionals at U of M
Graduate/Professional,Future Black Healthcare Professionals at U of M
Service/Service Learning,Future Black Healthcare Professionals at U of M
Activism,Future Doctors in Politics at the University of Michigan
Graduate/Professional,Future Doctors in Politics at the University of Michigan
Health & Wellness,Future Doctors in Politics at the University of Michigan
Academic/Honor Societies,Future Physicians at Michigan
Graduate/Professional,Future Physicians at Michigan
Health & Wellness,Future Physicians at Michigan
Service/Service Learning,Future Physicians at Michigan
Science/Technology/Engineering,"Futures in Research, Science, Teaching"
Creative & Performing Arts,Galens Medical Society
Graduate/Professional,Galens Medical Society
Health & Wellness,Galens Medical Society
Service/Service Learning,Galens Medical Society
Creative & Performing Arts,Galens Medical Society Smoker
Graduate/Professional,Galens Medical Society Smoker
Media & Creative Writing,Galens Medical Society Smoker
Service/Service Learning,Gamma Phi Beta
Social Fraternity/Sorority,Gamma Phi Beta
Academic/Honor Societies,Gamma Rho Phi Professional Fraternity of Public Policy 
Governance,Gamma Rho Phi Professional Fraternity of Public Policy 
Graduate/Professional,Gamma Rho Phi Professional Fraternity of Public Policy 
Social Fraternity/Sorority,Gamma Rho Phi Professional Fraternity of Public Policy 
Academic/Honor Societies,Gamma Sigma Alpha
Service/Service Learning,Gamma Sigma Alpha
Social Fraternity/Sorority,Gamma Sigma Alpha
Activism,Gender Violence Project
Graduate/Professional,Gender Violence Project
Service/Service Learning,Gender Violence Project
Gender/Sexuality,Gender Violence Project
Graduate/Professional,General Management Club
Science/Technology/Engineering,Generate Real Opportunities and Wonder Tutoring Program 
Service/Service Learning,Generate Real Opportunities and Wonder Tutoring Program 
Creative & Performing Arts,Generation Asian Pacific American
Cultural/Ethnic,Generation Asian Pacific American
Activism,Generation Mental Heath - University of Michigan Campus Chapter
Graduate/Professional,Generation Mental Heath - University of Michigan Campus Chapter
Health & Wellness,Generation Mental Heath - University of Michigan Campus Chapter
Service/Service Learning,Generation Mental Heath - University of Michigan Campus Chapter
Academic/Honor Societies,Genes in Diseases and Symptoms
Science/Technology/Engineering,Genes in Diseases and Symptoms
Health & Wellness,Genes in Diseases and Symptoms
Service/Service Learning,Genes in Diseases and Symptoms
Science/Technology/Engineering,GeoClub
Graduate/Professional,GeoClub
Academic/Honor Societies,German Club at the University of Michigan
Cultural/Ethnic,German Club at the University of Michigan
Activism,Gerontology Honor Society: Sigma Phi Omega
Academic/Honor Societies,Gerontology Honor Society: Sigma Phi Omega
Graduate/Professional,Gerontology Honor Society: Sigma Phi Omega
Health & Wellness,Gerontology Honor Society: Sigma Phi Omega
Service/Service Learning,Gerontology Honor Society: Sigma Phi Omega
Science/Technology/Engineering,GET Access: Geriatric Education on Telehealth
Graduate/Professional,GET Access: Geriatric Education on Telehealth
Health & Wellness,GET Access: Geriatric Education on Telehealth
Service/Service Learning,GET Access: Geriatric Education on Telehealth
Creative & Performing Arts,Gimble A Cappella
Service/Service Learning,Girl Scouts at the University of Michigan
Gender/Sexuality,Girl Scouts at the University of Michigan
Activism,Girl Up Michigan
Health & Wellness,Girl Up Michigan
Service/Service Learning,Girl Up Michigan
Gender/Sexuality,Girl Up Michigan
Activism,GIRLS at Michigan
Health & Wellness,GIRLS at Michigan
Service/Service Learning,GIRLS at Michigan
Gender/Sexuality,GIRLS at Michigan
Academic/Honor Societies,Girls in Electrical Engineering and Computer Science
Science/Technology/Engineering,Girls in Electrical Engineering and Computer Science
Graduate/Professional,Girls in Electrical Engineering and Computer Science
Gender/Sexuality,Girls in Electrical Engineering and Computer Science
Science/Technology/Engineering,Girls Teaching Girls To Code
Gender/Sexuality,Girls Teaching Girls To Code
Science/Technology/Engineering,Girls Who Code at UM DCMB
Service/Service Learning,Girls Who Code at UM DCMB
Science/Technology/Engineering,Girls Who Code Loop @ UM
Creative & Performing Arts,Girls Who Listen
Media & Creative Writing,Girls Who Listen
Gender/Sexuality,Girls Who Listen
Activism,Give-A-Day Fund
Graduate/Professional,Give-A-Day Fund
Service/Service Learning,Give-A-Day Fund
Activism,Global Brigades
Cultural/Ethnic,Global Brigades
Science/Technology/Engineering,Global Brigades
Health & Wellness,Global Brigades
Service/Service Learning,Global Brigades
Environmental,Global Brigades
Cultural/Ethnic,Global Business Club
Business & Entrepreneurship,Global Business Club
Science/Technology/Engineering,Global CO2 Initiative Student Association
Environmental,Global CO2 Initiative Student Association
Cultural/Ethnic,Global Fordies
Graduate/Professional,Global Fordies
Activism,Global Health Alliance at the University of Michigan
Health & Wellness,Global Health Alliance at the University of Michigan
Service/Service Learning,Global Health Alliance at the University of Michigan
Graduate/Professional,Global Investments Committee
Activism,Global Scholars Program 
Academic/Honor Societies,Global Scholars Program 
Cultural/Ethnic,Global Scholars Program 
Health & Wellness,Global Scholars Program 
Service/Service Learning,Global Scholars Program 
Health & Wellness,Global Surgery Student Alliance
Activism,Go Blue Wear Pink
Health & Wellness,Go Blue Wear Pink
Service/Service Learning,Go Blue Wear Pink
Academic/Honor Societies,Golden Apple Award
Creative & Performing Arts,Good News Christian A Cappella
Religious/Spiritual,Good News Christian A Cappella
Activism,Goodness Day
Service/Service Learning,Goodness Day
Service/Service Learning,Gowns for Good at the University of Michigan a Member of Operation PROM National Network
Activism,Grace-edu
Cultural/Ethnic,Grace-edu
Service/Service Learning,Grace-edu
Graduate/Professional,GradCru
Religious/Spiritual,GradCru
Service/Service Learning,GradCru
Creative & Performing Arts,GradTONES
Graduate/Professional,Graduate Christian Fellowship
Religious/Spiritual,Graduate Christian Fellowship
Service/Service Learning,Graduate Christian Fellowship
Sport Clubs & Recreation,Graduate Cricket Club
Academic/Honor Societies,Graduate Economics Society
Graduate/Professional,Graduate Economics Society
Activism,Graduate Rackham International
Cultural/Ethnic,Graduate Rackham International
Graduate/Professional,Graduate Rackham International
Health & Wellness,Graduate Rackham International
Academic/Honor Societies,Graduate Society of Black Engineers and Scientists
Cultural/Ethnic,Graduate Society of Black Engineers and Scientists
Science/Technology/Engineering,Graduate Society of Black Engineers and Scientists
Graduate/Professional,Graduate Society of Black Engineers and Scientists
Service/Service Learning,Graduate Society of Black Engineers and Scientists
Science/Technology/Engineering,Graduate Society of Women Engineers
Graduate/Professional,Graduate Society of Women Engineers
Service/Service Learning,Graduate Society of Women Engineers
Governance,Graduate Student Advisory Committee-ISD
Graduate/Professional,Graduate Student Advisory Committee-ISD
Activism,Graduate Student Parents and Caregivers
Graduate/Professional,Graduate Student Parents and Caregivers
Cultural/Ethnic,Greater China Association
Science/Technology/Engineering,Green Wolverine
Graduate/Professional,Green Wolverine
Health & Wellness,Green Wolverine
Business & Entrepreneurship,Green Wolverine
Creative & Performing Arts,Groove/UAC
Activism,H2O Campus Ministries 
Cultural/Ethnic,H2O Campus Ministries 
Religious/Spiritual,H2O Campus Ministries 
Activism,Habitat for Humanity at the University of Michigan
Service/Service Learning,Habitat for Humanity at the University of Michigan
Science/Technology/Engineering,Hack4Impact Michigan
Science/Technology/Engineering,HackBlue
Service/Service Learning,HackBlue
Health & Wellness,Hacky Sack Social Club
Sport Clubs & Recreation,Hacky Sack Social Club
Graduate/Professional,HBHEDoc
Creative & Performing Arts,Headnotes Law School A Cappella Group
Graduate/Professional,Headnotes Law School A Cappella Group
Activism,Heal-Move-Shift
Academic/Honor Societies,Heal-Move-Shift
Health & Wellness,Heal-Move-Shift
Media & Creative Writing,Heal-Move-Shift
Service/Service Learning,Heal-Move-Shift
Graduate/Professional,Health Behavior Health Education Student Association
Health & Wellness,Health Behavior Health Education Student Association
Graduate/Professional,Health Informatics Student Organisation
Health & Wellness,Health Informatics Student Organisation
Governance,Health Management and Policy Class Representatives
Graduate/Professional,Health Management and Policy Class Representatives
Academic/Honor Societies,Health Physics Society
Graduate/Professional,Health Physics Society
Health & Wellness,Health Physics Society
Environmental,Health Physics Society
Activism,Health Policy Student Association
Graduate/Professional,Health Policy Student Association
Health & Wellness,Health Policy Student Association
Activism,Health Promotion at UM
Science/Technology/Engineering,Health Promotion at UM
Health & Wellness,Health Promotion at UM
Service/Service Learning,Health Promotion at UM
Environmental,Health Promotion at UM
Academic/Honor Societies,Health Sciences Scholars Program Events Planning Council
Health & Wellness,Health Sciences Scholars Program Events Planning Council
Graduate/Professional,Health-System Student Pharmacists at the University of Michigan
Graduate/Professional,Healthcare and Lifesciences Club
Health & Wellness,Healthcare and Lifesciences Club
Health & Wellness,hEARt Listens @ Michigan
Activism,Heartbeat: Philanthropic A Capella
Creative & Performing Arts,Heartbeat: Philanthropic A Capella
Health & Wellness,Heartbeat: Philanthropic A Capella
Service/Service Learning,Heartbeat: Philanthropic A Capella
Activism,HeForShe
Service/Service Learning,HeForShe
Gender/Sexuality,HeForShe
Creative & Performing Arts,Helicon History of Art Undergraduate Society
Cultural/Ethnic,Helicon History of Art Undergraduate Society
Media & Creative Writing,Helicon History of Art Undergraduate Society
Cultural/Ethnic,Hellenic Student Association
Creative & Performing Arts,Her Campus at the University of Michigan
Media & Creative Writing,Her Campus at the University of Michigan
Activism,"Here Earning a Destiny through Honesty, Eagerness, and Determination of Self"
Cultural/Ethnic,"Here Earning a Destiny through Honesty, Eagerness, and Determination of Self"
Service/Service Learning,"Here Earning a Destiny through Honesty, Eagerness, and Determination of Self"
Activism,Hikayat at U-M
Creative & Performing Arts,Hikayat at U-M
Cultural/Ethnic,Hikayat at U-M
Media & Creative Writing,Hikayat at U-M
Service/Service Learning,Hikayat at U-M
Cultural/Ethnic,Hindu Students Council
Religious/Spiritual,Hindu Students Council
Service/Service Learning,Hindu Students Council
Activism,Hip Hop Congress
Creative & Performing Arts,Hip Hop Congress
Cultural/Ethnic,Hip Hop Congress
Media & Creative Writing,Hip Hop Congress
Cultural/Ethnic,Hispanic Business Students Association
Graduate/Professional,Hispanic Business Students Association
Activism,Hong Kong Human Rights Concern Group 
Creative & Performing Arts,Hong Kong Human Rights Concern Group 
Cultural/Ethnic,Hong Kong Human Rights Concern Group 
Cultural/Ethnic,Hong Kong Student Association
Academic/Honor Societies,Honors Resident Advisors
Service/Service Learning,Honors Resident Advisors
Cultural/Ethnic,Hoops for Hope
Health & Wellness,Hoops for Hope
Service/Service Learning,Hoops for Hope
Sport Clubs & Recreation,Hoops for Hope
Health & Wellness,Hopelessly Yellow
Media & Creative Writing,Hopelessly Yellow
Academic/Honor Societies,HOSA Future Health Professionals at UM
Science/Technology/Engineering,HOSA Future Health Professionals at UM
Health & Wellness,HOSA Future Health Professionals at UM
Service/Service Learning,HOSA Future Health Professionals at UM
Health & Wellness,Hospital Elder Life Program at U of M
Service/Service Learning,Hospital Elder Life Program at U of M
Graduate/Professional,Human Capital Club
Graduate/Professional,Human Factors & Ergonomics Society
Science/Technology/Engineering,Human Powered Submarine Team
Sport Clubs & Recreation,Human Powered Submarine Team
Activism,Human Rights Advocates
Cultural/Ethnic,Human Rights Advocates
Graduate/Professional,Human Rights Advocates
Service/Service Learning,Human Rights Advocates
Service/Service Learning,HumanKind at the University of Michigan
Service/Service Learning,Huntington's Disease Awareness Association 
Sport Clubs & Recreation,Ice Hockey Club at Ross
Activism,If/When/How: Lawyering for Reproductive Rights
Graduate/Professional,If/When/How: Lawyering for Reproductive Rights
Health & Wellness,If/When/How: Lawyering for Reproductive Rights
Gender/Sexuality,If/When/How: Lawyering for Reproductive Rights
Creative & Performing Arts,Images of Identities
Cultural/Ethnic,Images of Identities
Creative & Performing Arts,Impact Dance/UAC
Graduate/Professional,Impact Graduate Student Fellowship
Religious/Spiritual,Impact Graduate Student Fellowship
Activism,Impact Investing Group
Graduate/Professional,Impact Investing Group
Environmental,Impact Investing Group
Activism,incoMing
Creative & Performing Arts,Indian American Student Association
Cultural/Ethnic,Indian American Student Association
Service/Service Learning,Indian American Student Association
Activism,Indian Muslim Student Association
Cultural/Ethnic,Indian Muslim Student Association
Cultural/Ethnic,Indian Student Association
Cultural/Ethnic,Indian Subcontinent Business Association
Graduate/Professional,Indian Subcontinent Business Association
Activism,Indigenous Africa
Academic/Honor Societies,Indigenous Africa
Cultural/Ethnic,Indigenous Africa
Media & Creative Writing,Indigenous Africa
Academic/Honor Societies,Industry Pharmacists Organization
Science/Technology/Engineering,Industry Pharmacists Organization
Graduate/Professional,Industry Pharmacists Organization
Health & Wellness,Industry Pharmacists Organization
Academic/Honor Societies,INFORMS at the University of Michigan
Science/Technology/Engineering,INFORMS at the University of Michigan
Graduate/Professional,INFORMS at the University of Michigan
Activism,Initiative for Inclusive Design
Science/Technology/Engineering,Initiative for Inclusive Design
Health & Wellness,Initiative for Inclusive Design
Service/Service Learning,Initiative for Inclusive Design
Academic/Honor Societies,Institute of Electrical and Electronics Engineers
Science/Technology/Engineering,Institute of Electrical and Electronics Engineers
Graduate/Professional,Institute of Electrical and Electronics Engineers
Graduate/Professional,Institute of Electrical and Electronics Engineers Nuclear & Plasma Sciences Society
Academic/Honor Societies,Institute of Industrial and Systems Engineers
Science/Technology/Engineering,Institute of Industrial and Systems Engineers
Graduate/Professional,Institute of Industrial and Systems Engineers
Graduate/Professional,Institute of Nuclear Materials Management at the University of Michigan
Science/Technology/Engineering,Intellectual Property Student Association
Graduate/Professional,Intellectual Property Student Association
Activism,Inter-Cooperative Council
Governance,Inter-Cooperative Council
Health & Wellness,Inter-Cooperative Council
Service/Service Learning,Inter-Cooperative Council
Environmental,Inter-Cooperative Council
Gender/Sexuality,Inter-Cooperative Council
Activism,Intercollegiate Athlete Network
Health & Wellness,Intercollegiate Athlete Network
Governance,Interfraternity Council
Social Fraternity/Sorority,Interfraternity Council
Department,International Center
Academic/Honor Societies,International Law Society
Cultural/Ethnic,International Law Society
Graduate/Professional,International Law Society
Activism,International Policy Students Association
Cultural/Ethnic,International Policy Students Association
Activism,International Refugee Assistance Project: Michigan Chapter
Governance,International Refugee Assistance Project: Michigan Chapter
Graduate/Professional,International Refugee Assistance Project: Michigan Chapter
Service/Service Learning,International Refugee Assistance Project: Michigan Chapter
Science/Technology/Engineering,International Society for Pharmacoeconomics and Outcomes Research / Academy of Managed Care Pharmacy
Graduate/Professional,International Society for Pharmacoeconomics and Outcomes Research / Academy of Managed Care Pharmacy
Health & Wellness,International Society for Pharmacoeconomics and Outcomes Research / Academy of Managed Care Pharmacy
Activism,International Youth and Students for Social Equality
Graduate/Professional,Interprofessional Health Student Organization
Health & Wellness,Interprofessional Health Student Organization
Service/Service Learning,Interprofessional Health Student Organization
Religious/Spiritual,InterVarsity Christian Fellowship (Multi-Ethnic)
Cultural/Ethnic,INvent
Science/Technology/Engineering,INvent
Service/Service Learning,INvent
Graduate/Professional,Investment Management Club 
Academic/Honor Societies,Iota Iota Iota National Women's and Gender Studies Honor Society
Gender/Sexuality,Iota Iota Iota National Women's and Gender Studies Honor Society
Academic/Honor Societies,IPO Investment at The University of Michigan 
Cultural/Ethnic,Iranian Graduate Student Association
Activism,Iraqi Student Association
Cultural/Ethnic,Iraqi Student Association
Activism,Islamic Society of Ahlulbayt
Cultural/Ethnic,Islamic Society of Ahlulbayt
Religious/Spiritual,Islamic Society of Ahlulbayt
Cultural/Ethnic,Italian Student Association
Activism,J Street U
Cultural/Ethnic,J Street U
Religious/Spiritual,J Street U
Graduate/Professional,J. Reuben Clark Law Society
Religious/Spiritual,J. Reuben Clark Law Society
Creative & Performing Arts,Jam Club
Cultural/Ethnic,Jam Club
Media & Creative Writing,Jam Club
Cultural/Ethnic,Japan Business Association at Ross
Graduate/Professional,Japan Business Association at Ross
Cultural/Ethnic,Japan Student Association
Cultural/Ethnic,Japanese Language Circle
Academic/Honor Societies,JDs in the D
Graduate/Professional,JDs in the D
Cultural/Ethnic,Jewish Law Students Association
Graduate/Professional,Jewish Law Students Association
Religious/Spiritual,Jewish Law Students Association
Religious/Spiritual,Jewish Resource Center
Academic/Honor Societies,JHealth at The University of Michigan
Cultural/Ethnic,JHealth at The University of Michigan
Graduate/Professional,JHealth at The University of Michigan
Religious/Spiritual,JHealth at The University of Michigan
Activism,John Quincy Adams Society at the University of Michigan
Governance,John Quincy Adams Society at the University of Michigan
Department,Judaic Studies
Service/Service Learning,K-Grams (Kids' Programs)
Creative & Performing Arts,K-Motion
Cultural/Ethnic,K-Motion
Academic/Honor Societies,Kappa Alpha Pi Pre-Law Fraternity
Service/Service Learning,Kappa Alpha Pi Pre-Law Fraternity
Activism,Kappa Alpha Psi Fraternity Incorporated—University of Michigan
Service/Service Learning,Kappa Alpha Psi Fraternity Incorporated—University of Michigan
Social Fraternity/Sorority,Kappa Alpha Psi Fraternity Incorporated—University of Michigan
Academic/Honor Societies,Kappa Delta 
Governance,Kappa Delta 
Service/Service Learning,Kappa Delta 
Social Fraternity/Sorority,Kappa Delta 
Academic/Honor Societies,Kappa Delta Pi
Graduate/Professional,Kappa Delta Pi
Social Fraternity/Sorority,Kappa Kappa Gamma
Academic/Honor Societies,Kappa Kappa Psi / Tau Beta Sigma
Creative & Performing Arts,Kappa Kappa Psi / Tau Beta Sigma
Service/Service Learning,Kappa Kappa Psi / Tau Beta Sigma
Academic/Honor Societies,Kappa Omega Alpha
Graduate/Professional,Kappa Omega Alpha
Social Fraternity/Sorority,Kappa Omega Alpha
Cultural/Ethnic,Kappa Phi Lambda
Service/Service Learning,Kappa Phi Lambda
Social Fraternity/Sorority,Kappa Phi Lambda
Academic/Honor Societies,Kappa Theta Pi
Creative & Performing Arts,Kappa Theta Pi
Science/Technology/Engineering,Kappa Theta Pi
Graduate/Professional,Kappa Theta Pi
Sport Clubs & Recreation,Kendo Club at the University of Michigan
Science/Technology/Engineering,Kidney Disease Screening and Awareness Program
Health & Wellness,Kidney Disease Screening and Awareness Program
Service/Service Learning,Kidney Disease Screening and Awareness Program
Service/Service Learning,Kids Are Scientists Too at The University of Michigan
Health & Wellness,Kids' Kitchen
Service/Service Learning,Kids' Kitchen
Activism,Kindness in Numbers
Cultural/Ethnic,Kindness in Numbers
Health & Wellness,Kindness in Numbers
Governance,Kinesiology Student Government
Creative & Performing Arts,Kol HaKavod
Cultural/Ethnic,Kol HaKavod
Religious/Spiritual,Kol HaKavod
Creative & Performing Arts,Konnect
Cultural/Ethnic,Konnect
