2018 SOC Code,2018 SOC Major Group,2018 SOC Minor Group,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Radio and Television Technical Director,
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Radio Producer,
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Stage Manager,x
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Television News Producer,
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Television Newscast Director,
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Television Producer,
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Television Program Director,
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Theater Company Producer,
27-2012,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Producers and Directors,Video Producer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,National Association for Stock Car Auto Racing Driver,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Profession Cyclist,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional All Terrain Vehicle Racer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Athlete,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Auto Racer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Baseball Pitcher,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Baseball Player,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Basketball Player,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Bass Fisher,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Bicycle Racer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Bicyclist,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Billiard Player,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Bowler,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Bull Rider,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Car Racer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Dirt Bike Racer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Drag Car Racer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Figure Skater,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Football Player,x
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Golfer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Hockey Player,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Horse Racer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Ice Skater,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Jockey,x
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Kick Boxer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Motocross Racer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Prize Fighter,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Pugilist,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Race Car Driver,x
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Roller Skater,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Skater,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Skier,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Snowboarder,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Soccer Player,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Softball Player,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Stock Car Driver,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Surfer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Swimmer,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Tennis Player,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Volleyball Player,
27-2021,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Athletes and Sports Competitors,Professional Wrestler,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Athletic Coach,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Baseball Coach,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Baseball Scout,x
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Basketball Coach,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Boxing Coach,x
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Coach,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Football Coach,x
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Hockey Scout,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Ice Skating Coach,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Riding Coach,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Ski Coach,
27-2022,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Coaches and Scouts,Tennis Coach,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Athletic Events Scorer,x
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Baseball Umpire,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Diving Judge,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Dressage Judge,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Equestrian Events Judge,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Handicapper,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Horse Show Judge,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Paddock Judge,x
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Pit Steward,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Placing Judge,
27-2023,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Umpires, Referees, and Other Sports Officials",Race Starter,x
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Ballerina,x
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Ballet Company Member,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Ballet Dancer,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Ballet Soloist,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Burlesque Dancer,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Dance Artist,x
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Discotheque Dancer,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Exotic Dancer,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Go-Go Dancer,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Line Dancer,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Soft Shoe Dancer,
27-2031,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Dancers,Tap Dancer,x
27-2032,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Choreographers,Dance Director,x
27-2032,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Choreographers,Dance Master,x
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Choir Director,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Choirmaster,x
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Chorus Master,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Composer,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Maestro,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Music Adapter,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Music Arranger,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Music Copyist,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Music Director,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Music Minister,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Music Pastor,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Orchestra Conductor,x
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Orchestra Director,
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Orchestrator,x
27-2041,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Music Directors and Composers,Songwriter,x
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Accompanist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Baritone,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Bassoonist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Bugler,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Cellist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Choir Member,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Church Organist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Clarinetist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Concert Pianist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Concert Singer,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Double Bass Player,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,English Horn Player,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Flutist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Guitar Player,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Guitarist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Harpist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Horn Player,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Instrumentalist,x
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Musician,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Oboist,x
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Opera Singer,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Organist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Percussionist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Pianist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Piano Player,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Piccoloist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Rapper,x
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Soloist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Tenor,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Timpanist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Trombonist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Trumpet Player,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Trumpeter,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Violinist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Violist,
27-2042,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers",Musicians and Singers,Vocalist,
27-2091,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Disc Jockeys, Except Radio",Club DJ,x
27-2091,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Disc Jockeys, Except Radio",Deejay,x
27-2091,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Disc Jockeys, Except Radio",DJ,x
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Acrobat,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Aerialist,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Amusement Park Entertainer,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Bareback Rider,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Baton Twirler,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Clown,x
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Comedian,x
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Fortune Teller,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Impersonator,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Juggler,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Magician,x
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Marionette Performer,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Palmist,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Professional Poker Player,x
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Prompter,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Puppeteer,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Ringmaster,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Rodeo Performer,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Story Teller,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Stunt Performer,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Tumbler,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Ventriloquist,
27-2099,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Entertainers and Performers, Sports and Related Workers, All Other",Wire Walker,
27-3011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Broadcast Announcers and Radio Disc Jockeys,Commercial Announcer,
27-3011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Broadcast Announcers and Radio Disc Jockeys,Game Show Host,x
27-3011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Broadcast Announcers and Radio Disc Jockeys,Radio Artist,
27-3011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Broadcast Announcers and Radio Disc Jockeys,Radio Disc Jockey,x
27-3011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Broadcast Announcers and Radio Disc Jockeys,Radio Host,
27-3011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Broadcast Announcers and Radio Disc Jockeys,Talk Show Host,x
27-3011,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Broadcast Announcers and Radio Disc Jockeys,Television Host,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Book Critic,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Book Reviewer,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Columnist,x
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Correspondent,x
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Desk Reporter,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Film Critic,x
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Foreign Correspondent,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Investigative Reporter,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Journalist,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Market News Reporter,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Movie Critic,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",News Anchor,x
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",News Commentator,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",News Reporter,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Newscaster,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Newspaper Columnist,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Newspaper Correspondent,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Political Reporter,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Press Writer,
27-3023,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,"News Analysts, Reporters, and Journalists",Society Reporter,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Environmental Communications Specialist,
27-3031,"Arts, Design, Entertainment, Sports, and Media Occupations",Media and Communication Workers,Public Relations Specialists,Lobbyist,x
